,ep_score
0,45.63531680255433
1,91.37609205044956
2,44.983925372228995
3,64.07081241282646
4,73.64392413388565
5,82.96295397788393
6,129.49267279596933
7,82.65378948920461
8,82.20639429689672
9,64.02612683108701
10,73.29730457361276
11,120.48296837534754
12,111.12271747922
13,92.2392285402826
14,63.656796832446254
15,91.94738477840069
16,72.85160680477335
17,82.8114758034323
18,64.05729169663894
19,91.98539520382454
20,92.43621310663727
21,82.72359751938973
22,73.65189189400627
23,128.12232938374893
24,119.85767206607811
25,92.15187687604075
26,82.97318594510497
27,101.30913006955684
28,82.59742900064617
29,156.80848210273027
30,110.56661005765983
31,138.46431495122428
32,129.06165188004675
33,110.52936002444024
34,73.24960521782185
35,129.693628009214
36,101.67183235092314
37,54.9303444398804
38,73.67604799419342
39,73.0354117237934
40,129.2707291893598
41,82.61321983206675
42,82.35083007551151
43,92.37023495402215
44,101.6067540385935
45,73.60736266931752
46,91.41926332182769
47,73.43927255876025
48,92.04679533989336
49,83.22010873801187
50,111.11603470023451
51,92.10778931851597
52,82.0629354872924
53,54.413954058197966
54,138.5144194069269
55,110.8810837445861
56,92.00828233389392
57,101.61310640432728
58,101.34575971662541
59,110.91000692446116
60,165.96810030025648
61,101.53382705975405
62,82.36476406757679
63,120.17254971638576
64,101.27623056434913
65,44.73236836801303
66,129.09564311760442
67,119.53337021747481
68,129.1037525097324
69,92.20125304270096
70,54.432162753228496
71,83.08044466378564
72,82.94349772982436
73,268.83274913363897
74,120.27294298189204
75,166.31176949337743
76,128.24253823678376
77,64.37329054973323
78,82.24803182440641
79,73.15559555699159
80,82.56341108212877
81,72.83562568859004
82,101.21549343546694
83,128.67367316517652
84,101.59345367761226
85,110.59122593390433
86,73.65742576125272
87,83.01241041592974
88,82.60270078711162
89,100.85693553097859
90,156.0548769241624
91,147.94319056666893
92,110.26948440755942
93,92.26017558781804
94,64.08732213534273
95,73.56397120797672
96,129.74865127849836
97,73.22388238257044
98,92.49895658306619
99,82.679348886409
